municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1507466,São João da Ponta,4430.0,0,0.0,0.09683972911963883,0.028216704288939052,0.8742663656884876,0.0004514672686230248,0.0002257336343115124,1.0,0.0
1507474,São João de Pirabas,20689.0,0,0.0,0.17047706510706173,0.04780318043404708,0.7810914012277056,0.00043501377543622217,0.00019333945574943206,1.0,0.0
1507508,São João do Araguaia,13664.0,0,0.0,0.14739461358313818,0.13546545667447307,0.7143588992974239,0.0009514051522248243,0.001829625292740047,1.0,0.0
1507607,São Miguel do Guamá,52894.0,1,1.8905736000302492e-05,0.10870798200173933,0.10659053956970545,0.7832079252845313,0.0008507581200136122,0.0006238892880099823,0.9999810942639996,1.8905736000385254e-05
1507706,São Sebastião da Boa Vista,25643.0,0,0.0,0.19615489607300238,0.06114729165854229,0.7406309714152011,0.001169909916936396,0.0008969309363179035,1.0,0.0
1507755,Sapucaia,5847.0,0,0.0,0.1879596374208996,0.07473918248674534,0.7350778176842825,0.0013682230203523175,0.0008551393877201984,1.0,0.0
1507805,Senador José Porfírio,22576.0,0,0.0,0.14568568391211906,0.11800141743444366,0.698219347980156,0.0017274982282069454,0.03636605244507442,1.0,0.0
1507904,Soure,24204.0,0,0.0,0.11361758387043464,0.1841844323252355,0.7006279953726656,0.0004957858205255329,0.0010742026111386547,1.0,0.0
1507953,Tailândia,72493.0,2,2.758887064957996e-05,0.18574207164829706,0.1195011932186556,0.6914184817844482,0.002138137475342447,0.0011725270026071483,0.9999724111293504,2.758887064957527e-05
1507961,Terra Alta,10400.0,0,0.0,0.17278846153846153,0.06394230769230769,0.76125,0.001826923076923077,0.0001923076923076923,1.0,0.0
1507979,Terra Santa,18782.0,1,5.324246619103397e-05,0.15839633691832605,0.033915450963688636,0.8059312107336812,0.0003194547971462038,0.0013843041209668833,0.9999467575338091,5.3242466190872584e-05
1508001,Tomé-Açu,67585.0,0,0.0,0.1603610268550714,0.11545461270992084,0.708929496189983,0.007427683657616335,0.007827180587408448,1.0,0.0
1508035,Tracuateua,28595.0,0,0.0,0.08984088127294981,0.03518097569505158,0.8740339220143382,0.0002797691904179052,0.000664451827242525,1.0,0.0
