municipality_code,municipality_name,female_race_branca_count,female_race_preta_count,female_race_parda_count,female_race_amarela_count,female_race_indigena_count,diagnostic__female_declared_race_total,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena,diagnostic__female_race_declared_share_sum,diagnostic__female_race_residual_share
1507003,Santo Antônio do Tauá - PA,9.37,3.01,37.35,0.09,0.06,49.88000000000001,0.18785084202084998,0.06034482758620688,0.7487971130713712,0.001804330392943063,0.0012028869286287087,0.9999999999999998,2.220446049250313e-16
1507102,São Caetano de Odivelas - PA,8.58,2.47,38.05,0.05,0.02,49.169999999999995,0.17449664429530204,0.05023388244864756,0.7738458409599349,0.0010168802115110842,0.00040675208460443367,1.0000000000000002,-2.220446049250313e-16
1507151,São Domingos do Araguaia - PA,9.05,4.74,35.17,0.08,0.16,49.199999999999996,0.18394308943089435,0.09634146341463416,0.7148373983739839,0.0016260162601626018,0.0032520325203252037,1.0000000000000002,-2.220446049250313e-16
1507201,São Domingos do Capim - PA,5.62,4.56,37.44,0.03,0.01,47.66,0.11791859001258918,0.09567771716323961,0.7855644146034411,0.0006294586655476291,0.00020981955518254304,1.0,0.0
1507300,São Félix do Xingu - PA,8.67,4.02,32.17,0.05,1.85,46.76,0.18541488451668092,0.08597091531223267,0.6879811804961506,0.00106928999144568,0.039563729683490166,1.0,0.0
1507409,São Francisco do Pará - PA,8.85,2.52,37.85,0.05,0.06,49.33,0.17940401378471518,0.05108453273869856,0.7672815730792621,0.0010135819987837017,0.001216298398540442,1.0,0.0
1507458,São Geraldo do Araguaia - PA,9.57,5.76,33.23,0.06,0.91,49.529999999999994,0.19321623258631135,0.11629315566323441,0.6709065213002221,0.0012113870381586919,0.018372703412073494,1.0,0.0
1507466,São João da Ponta - PA,4.88,1.38,42.08,0.05,0.0,48.38999999999999,0.10084728249638356,0.02851828890266584,0.8696011572638975,0.0010332713370531104,0.0,1.0,0.0
1507474,São João de Pirabas - PA,8.54,1.93,37.99,0.02,0.01,48.49,0.17611878737884099,0.039802021035265,0.7834605073210972,0.00041245617653124357,0.00020622808826562179,1.0,0.0
1507508,São João do Araguaia - PA,6.86,5.61,34.06,0.05,0.07,46.65,0.14705251875669884,0.12025723472668812,0.7301178992497321,0.0010718113612004287,0.0015005359056806005,1.0,0.0
1507607,São Miguel do Guamá - PA,5.64,4.87,39.93,0.05,0.03,50.519999999999996,0.11163895486935867,0.09639746634996042,0.7903800475059383,0.0009897070467141727,0.0005938242280285036,1.0,0.0
1507706,São Sebastião da Boa Vista - PA,10.01,2.31,35.58,0.07,0.04,48.01,0.20849822953551345,0.04811497604665695,0.7410956050822746,0.0014580295771714229,0.0008331597583836701,1.0,0.0
1507755,Sapucaia - PA,9.44,3.37,36.33,0.05,0.05,49.239999999999995,0.1917140536149472,0.06844029244516654,0.7378147847278635,0.001015434606011373,0.001015434606011373,1.0,0.0
1507805,Senador José Porfírio - PA,6.56,5.0,32.51,0.11,1.81,45.989999999999995,0.14263970428353992,0.10871928680147859,0.7068928027832138,0.002391824309632529,0.03935638182213525,1.0,0.0
1507904,Soure - PA,5.97,8.82,35.79,0.03,0.07,50.68,0.11779794790844514,0.17403314917127072,0.7061957379636937,0.0005919494869771112,0.0013812154696132598,1.0,0.0
1507953,Tailândia - PA,9.42,5.14,34.8,0.13,0.06,49.550000000000004,0.19011099899091824,0.10373360242179615,0.7023208879919273,0.0026236125126135215,0.0012108980827447021,0.9999999999999999,1.1102230246251565e-16
1507961,Terra Alta - PA,8.62,2.63,37.67,0.13,0.02,49.07000000000001,0.1756674138985123,0.05359690238434888,0.7676788261667006,0.0026492765437130627,0.00040758100672508654,0.9999999999999999,1.1102230246251565e-16
1507979,Terra Santa - PA,7.77,1.37,40.11,0.01,0.05,49.309999999999995,0.15757452849320625,0.02778341107280471,0.8134252687081729,0.00020279862096937745,0.0010139931048468872,1.0000000000000002,-2.220446049250313e-16
1508001,Tomé-Açu - PA,8.06,5.14,35.11,0.38,0.39,49.080000000000005,0.16422167889160552,0.10472697636511816,0.7153626731866339,0.007742461287693561,0.007946210268948655,0.9999999999999998,2.220446049250313e-16
