service_type,municipality_code,municipality_name,e2sfca_score,routing_ready_origins,routing_ready_female_population,configuration
health,1508100,Tucuruí,1.0246015185348613e-07,158,44448.0,reference_step_120
health,1508126,Ulianópolis,0.0,50,17003.0,reference_step_120
health,1508159,Uruará,4.3628574376099996e-05,64,15110.0,reference_step_120
health,1508209,Vigia,7.625515893984084e-06,100,24110.0,reference_step_120
health,1508308,Viseu,1.5200352036139975e-05,113,24311.0,reference_step_120
health,1508357,Vitória do Xingu,4.125338968293261e-05,36,6678.0,reference_step_120
health,1508407,Xinguara,2.4490579856666885e-05,92,25086.0,reference_step_120
specialized_justice,1500107,Abaetetuba,2.609352503697559e-06,189,61390.0,reference_step_120
specialized_justice,1500131,Abel Figueiredo,2.7304276122683573e-06,11,2904.0,reference_step_120
specialized_justice,1500206,Acará,2.3270789679338955e-06,128,21279.0,reference_step_120
specialized_justice,1500347,Água Azul do Norte,0.0,38,7078.0,reference_step_120
specialized_justice,1500404,Alenquer,0.0,64,24692.0,reference_step_120
specialized_justice,1500503,Almeirim,0.0,44,12803.0,reference_step_120
specialized_justice,1500602,Altamira,0.0,254,57798.0,reference_step_120
specialized_justice,1500701,Anajás,0.0,11,6120.0,reference_step_120
specialized_justice,1500800,Ananindeua,2.706991154683958e-06,637,216395.0,reference_step_120
specialized_justice,1500859,Anapu,0.0,42,11682.0,reference_step_120
specialized_justice,1500909,Augusto Corrêa,0.0,85,19652.0,reference_step_120
specialized_justice,1500958,Aurora do Pará,5.983005593554555e-07,40,9167.0,reference_step_120
specialized_justice,1501006,Aveiro,0.0,24,4724.0,reference_step_120
specialized_justice,1501105,Bagre,0.0,18,6788.0,reference_step_120
specialized_justice,1501204,Baião,0.0,61,20104.0,reference_step_120
specialized_justice,1501253,Bannach,0.0,11,1582.0,reference_step_120
specialized_justice,1501303,Barcarena,2.6298057834573047e-06,238,57552.0,reference_step_120
specialized_justice,1501402,Belém,2.699880095909726e-06,1874,637628.0,reference_step_120
specialized_justice,1501451,Belterra,6.242353117431147e-06,43,7617.0,reference_step_120
specialized_justice,1501501,Benevides,2.7069911546839583e-06,181,30532.0,reference_step_120
specialized_justice,1501576,Bom Jesus do Tocantins,2.7304276122683573e-06,35,7433.0,reference_step_120
specialized_justice,1501600,Bonito,1.4617040278129016e-06,26,5332.0,reference_step_120
specialized_justice,1501709,Bragança,4.793234779936459e-07,195,55750.0,reference_step_120
specialized_justice,1501725,Brasil Novo,0.0,37,8590.0,reference_step_120
specialized_justice,1501758,Brejo Grande do Araguaia,2.7304276122683578e-06,17,2980.0,reference_step_120
specialized_justice,1501782,Breu Branco,0.0,79,20704.0,reference_step_120
specialized_justice,1501808,Breves,0.0,64,28887.0,reference_step_120
specialized_justice,1501907,Bujaru,2.6869705895072374e-06,39,7707.0,reference_step_120
specialized_justice,1501956,Cachoeira do Piriá,2.134150104809678e-07,46,8304.0,reference_step_120
specialized_justice,1502004,Cachoeira do Arari,0.0,26,7539.0,reference_step_120
specialized_justice,1502103,Cametá,0.0,139,42529.0,reference_step_120
specialized_justice,1502152,Canaã dos Carajás,0.0,108,36539.0,reference_step_120
specialized_justice,1502202,Capanema,1.222352036084217e-06,118,35064.0,reference_step_120
specialized_justice,1502301,Capitão Poço,5.528856941474857e-07,132,25741.0,reference_step_120
specialized_justice,1502400,Castanhal,2.706991154683958e-06,340,97495.0,reference_step_120
specialized_justice,1502509,Chaves,0.0,4,2317.0,reference_step_120
specialized_justice,1502608,Colares,2.7069911546839583e-06,33,6118.0,reference_step_120
specialized_justice,1502707,Conceição do Araguaia,0.0,79,20299.0,reference_step_120
specialized_justice,1502756,Concórdia do Pará,2.059634607635792e-06,66,12238.0,reference_step_120
specialized_justice,1502764,Cumaru do Norte,0.0,20,4478.0,reference_step_120
specialized_justice,1502772,Curionópolis,2.647848552844616e-06,49,9754.0,reference_step_120
specialized_justice,1502806,Curralinho,0.0,12,6588.0,reference_step_120
specialized_justice,1502855,Curuá,0.0,27,4836.0,reference_step_120
specialized_justice,1502905,Curuçá,2.526432620925114e-06,87,19885.0,reference_step_120
specialized_justice,1502939,Dom Eliseu,0.0,69,29239.0,reference_step_120
specialized_justice,1502954,Eldorado do Carajás,2.7304276122683578e-06,55,12850.0,reference_step_120
specialized_justice,1503002,Faro,0.0,21,3965.0,reference_step_120
specialized_justice,1503044,Floresta do Araguaia,0.0,31,7174.0,reference_step_120
specialized_justice,1503077,Garrafão do Norte,7.92397416435836e-09,52,10813.0,reference_step_120
specialized_justice,1503093,Goianésia do Pará,0.0,50,11198.0,reference_step_120
specialized_justice,1503101,Gurupá,0.0,14,6475.0,reference_step_120
specialized_justice,1503200,Igarapé-Açu,2.6559302957579413e-06,61,16638.0,reference_step_120
specialized_justice,1503309,Igarapé-Miri,1.7429073350082555e-06,52,16689.0,reference_step_120
specialized_justice,1503408,Inhangapi,2.706991154683958e-06,27,4748.0,reference_step_120
specialized_justice,1503457,Ipixuna do Pará,8.815118140842249e-08,63,11531.0,reference_step_120
specialized_justice,1503507,Irituia,9.71260757747662e-07,80,12734.0,reference_step_120
specialized_justice,1503606,Itaituba,0.0,202,58684.0,reference_step_120
specialized_justice,1503705,Itupiranga,2.1593274088111756e-06,94,19975.0,reference_step_120
specialized_justice,1503754,Jacareacanga,0.0,23,5495.0,reference_step_120
specialized_justice,1503804,Jacundá,2.6444075886659085e-06,86,18315.0,reference_step_120
specialized_justice,1503903,Juruti,0.0,50,17868.0,reference_step_120
specialized_justice,1504000,Limoeiro do Ajuru,0.0,11,4370.0,reference_step_120
specialized_justice,1504059,Mãe do Rio,6.164167815770283e-07,46,17225.0,reference_step_120
specialized_justice,1504109,Magalhães Barata,1.0378592988790273e-06,20,3887.0,reference_step_120
specialized_justice,1504208,Marabá,2.6539262972783834e-06,474,127275.0,reference_step_120
specialized_justice,1504307,Maracanã,1.1244964922059764e-06,81,12462.0,reference_step_120
