municipality_code,municipality_name,accessibility_coverage_status,promethee_positive_flow,promethee_negative_flow,promethee_net_flow,promethee_rank,mean_pairwise_comparable_weight_fraction,coverage_limited_rank_flag,robustness_mean_rank,robustness_sd_rank,robustness_best_rank,robustness_worst_rank,robustness_top10_probability,robustness_top_quartile_probability,top_10,top_quartile
1502939,Dom Eliseu,routing_ready_reachable,0.0663109317699677,0.0692450922212101,-0.0029341604512423,81,0.9968919968919968,False,80.7153,20.61225960223671,30,126,0.0,0.0043,False,False
1503077,Garrafão do Norte,routing_ready_reachable,0.0596109306662253,0.0626189582822749,-0.0030080276160496,82,0.9968919968919968,False,81.5432,8.59712357477781,55,107,0.0,0.0,False,False
1504109,Magalhães Barata,routing_ready_reachable,0.062222118998015,0.0655110675155687,-0.0032889485175537,83,0.9968919968919968,False,82.8141,14.394357963799576,36,117,0.0,0.0001,False,False
1507102,São Caetano de Odivelas,routing_ready_reachable,0.0587886616352132,0.0652786758276003,-0.0064900141923871,84,0.9968919968919968,False,84.1224,9.821731936883646,51,111,0.0,0.0,False,False
1504406,Marapanim,routing_ready_reachable,0.0578005888831107,0.0656771302538191,-0.0078765413707083,85,0.9968919968919968,False,85.5467,9.40750865585568,56,111,0.0,0.0,False,False
1503804,Jacundá,routing_ready_reachable,0.0661531706972841,0.0742590815637069,-0.0081059108664227,86,0.9968919968919968,False,84.5541,21.993600732713134,33,132,0.0,0.0045,False,False
1507953,Tailândia,routing_ready_reachable,0.0629558166946344,0.0735050430404841,-0.0105492263458496,87,0.9968919968919968,False,85.003,19.442113851122265,17,129,0.0,0.0045,False,False
1506559,Santa Luzia do Pará,routing_ready_reachable,0.0571672785564969,0.0688729894658043,-0.0117057109093074,88,0.9968919968919968,False,89.7411,12.22575440576163,47,121,0.0,0.0,False,False
1502301,Capitão Poço,routing_ready_reachable,0.0564938199792177,0.0693743300104438,-0.0128805100312261,89,0.9968919968919968,False,90.4702,11.006703046780132,53,122,0.0,0.0,False,False
1507300,São Félix do Xingu,routing_ready_reachable,0.1202545888257367,0.1355305884599868,-0.0152759996342501,90,0.9968919968919968,False,75.7386,41.31010372826483,2,131,0.0432,0.2372,False,False
1502905,Curuçá,routing_ready_reachable,0.0558608024875654,0.0713034150290016,-0.0154426125414361,91,0.9968919968919968,False,91.7621,9.782632753507654,50,122,0.0,0.0,False,False
1507474,São João de Pirabas,routing_ready_reachable,0.0525929935920218,0.0716886434064911,-0.0190956498144693,92,0.9968919968919968,False,94.924,8.356220676837044,69,119,0.0,0.0,False,False
1503903,Juruti,routing_ready_reachable,0.1032692344641517,0.122534319958444,-0.0192650854942923,93,0.9968919968919968,False,76.8216,34.78582431738537,5,129,0.0033,0.1473,False,False
