municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_score__creas,e2sfca_score__health,e2sfca_score__specialized_justice,e2sfca_score__specialized_security,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,promethee_top_quartile_and_lower_e2sfca
1500701,Anajás,4,40,0.0677989944554758,False,False,0.4817,0.0001633986928104,0.0,0.0,0.0,0.965034965034965,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3531468531468532,Lower E2SFCA accessibility quartile,False
1505106,Óbidos,3,41,0.0644899803839128,False,False,0.3896,8.189166187014421e-05,0.0,0.0,0.0,0.8811188811188811,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3321678321678322,Lower E2SFCA accessibility quartile,False
1505809,Portel,4,42,0.0631857290009637,False,False,0.409,6.410667350471184e-05,0.0,0.0,0.0,0.8181818181818182,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.31643356643356646,Lower E2SFCA accessibility quartile,False
1508159,Uruará,3,43,0.0631741381021833,False,False,0.2385,9.502661736274996e-05,4.36285743761e-05,0.0,1.2986001438288848e-06,0.9020979020979021,0.9300699300699301,0.24125874125874125,0.25874125874125875,4,True,0.583041958041958,Intermediate E2SFCA accessibility,False
1502707,Conceição do Araguaia,1,44,0.0605681595408445,False,False,0.4101,3.183495784949987e-05,8.54526346003566e-06,0.0,8.519705222536919e-06,0.32867132867132864,0.4405594405594406,0.24125874125874125,0.8321678321678322,4,True,0.4606643356643356,Intermediate E2SFCA accessibility,False
1505304,Oriximiná,3,45,0.0595590182455972,False,False,0.3324,4.679015893907776e-05,0.0,0.0,0.0,0.5874125874125874,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.25874125874125875,Lower E2SFCA accessibility quartile,False
1505700,Ponta de Pedras,3,46,0.0584244454483392,False,False,0.3313,0.000124347177319,0.0,0.0,0.0,0.9230769230769231,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.34265734265734266,Lower E2SFCA accessibility quartile,False
1507508,São João do Araguaia,3,47,0.0566145771507987,False,False,0.4284,4.862539682996547e-05,4.22904508162057e-06,2.7304276122683578e-06,2.8857474862410565e-06,0.6153846153846154,0.32167832167832167,0.972027972027972,0.4125874125874126,4,True,0.5804195804195804,Intermediate E2SFCA accessibility,False
1500503,Almeirim,3,48,0.0549041996338014,False,False,0.3451,7.810669374365382e-05,0.0,0.0,0.0,0.8741258741258742,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.33041958041958047,Lower E2SFCA accessibility quartile,False
1505064,Novo Repartimento,3,49,0.0506776425614673,False,False,0.3651,4.450937809686415e-05,1.856256652647441e-05,8.68930409432556e-08,7.803986202150805e-06,0.5524475524475524,0.7062937062937062,0.5104895104895105,0.8111888111888111,4,True,0.6451048951048951,Higher E2SFCA accessibility quartile,False
1503705,Itupiranga,3,50,0.0491514482370173,False,False,0.3505,3.006854628264623e-05,3.089096995313707e-06,2.159327408811176e-06,2.2902355553470608e-06,0.3006993006993007,0.2517482517482518,0.7202797202797203,0.3076923076923077,4,True,0.39510489510489516,Intermediate E2SFCA accessibility,False
1501758,Brejo Grande do Araguaia,3,51,0.0453705340733769,False,False,0.2994,3.3266369971082466e-05,3.21719637585028e-06,2.7304276122683578e-06,2.8619099814834425e-06,0.36363636363636365,0.25874125874125875,0.972027972027972,0.3986013986013986,4,True,0.4982517482517482,Intermediate E2SFCA accessibility,False
1508084,Tucumã,1,52,0.041340670303923,False,False,0.3312,5.8834235016438594e-05,1.6541758390788123e-05,0.0,1.8328781685881332e-05,0.7342657342657343,0.6713286713286714,0.24125874125874125,0.9790209790209791,4,True,0.6564685314685315,Higher E2SFCA accessibility quartile,False
1507458,São Geraldo do Araguaia,3,53,0.0391214173313815,False,False,0.2639,2.705321381961065e-05,3.165447330932771e-07,2.038765910834721e-06,1.3422179651352249e-06,0.21678321678321677,0.21678321678321677,0.7062937062937062,0.26573426573426573,4,True,0.35139860139860135,Lower E2SFCA accessibility quartile,False
1506161,Rio Maria,1,54,0.0376067364432616,False,False,0.2888,4.450682824582153e-05,1.364408806673061e-05,0.0,1.1892155833046691e-05,0.5454545454545454,0.5944055944055944,0.24125874125874125,0.9090909090909091,4,True,0.5725524475524475,Intermediate E2SFCA accessibility,False
1506302,Salvaterra,3,55,0.0374121950678801,False,False,0.1906,9.16590284142988e-05,0.0,0.0,0.0,0.8951048951048951,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.3356643356643357,Lower E2SFCA accessibility quartile,False
1500206,Acará,3,56,0.0339889225426072,False,False,0.2268,1.9056031676781432e-05,7.876257934320748e-06,2.3270789679338955e-06,3.854201651586366e-06,0.09090909090909091,0.4125874125874126,0.7412587412587412,0.48951048951048953,4,True,0.4335664335664336,Intermediate E2SFCA accessibility,False
1507466,São João da Ponta,2,57,0.0335587425663323,False,False,0.2163,2.004955880999729e-05,7.722576218974936e-06,2.4350745019645794e-06,3.086903212045957e-06,0.0979020979020979,0.3986013986013986,0.7552447552447552,0.43356643356643354,4,True,0.4213286713286713,Intermediate E2SFCA accessibility,False
1502954,Eldorado do Carajás,3,58,0.0326476463381706,False,False,0.1857,5.533851131091541e-05,1.2566605088297994e-05,2.7304276122683578e-06,1.013110344856995e-05,0.7202797202797203,0.5734265734265734,0.972027972027972,0.8671328671328671,4,True,0.7832167832167832,Higher E2SFCA accessibility quartile,False
1501576,Bom Jesus do Tocantins,2,59,0.0320872037892815,False,False,0.115,4.5505440840769785e-05,4.229045081620569e-06,2.7304276122683573e-06,2.8619099814834425e-06,0.5664335664335665,0.3076923076923077,0.9475524475524476,0.3986013986013986,4,True,0.5550699300699301,Intermediate E2SFCA accessibility,False
